name,pull_count,size_mb,size_source,est_tb,est_cost_low,est_cost_high,date_registered
ghost,376575545,268.359,latest,101057.3211,2021146.42,9095158.9,2015-02-23T20:54:08.964251Z
influxdb,1100172703,91.148,median,100278.3149,2005566.3,9025048.34,2016-05-12T16:48:37.189201Z
perl,253061101,394.845,median,99919.8758,1998397.52,8992788.82,2014-07-08T22:08:41Z
buildpack-deps,255160679,378.932,latest,96688.5964,1933771.93,8701973.68,2014-05-31T01:41:12Z
centos,1183214797,75.785,median,89670.189,1793403.78,8070317.01,2013-04-30T20:54:08Z
debian,1648462623,48.779,median,80411.1809,1608223.62,7237006.28,2014-01-03T19:39:02Z
couchbase,89738187,890.133,latest,79878.8905,1597577.81,7189100.14,2015-05-29T00:26:49.137667Z
rust,127463357,594.134,latest,75730.3727,1514607.45,6815733.54,2017-08-10T21:45:13.885626Z
percona,232083793,321.541,median,74624.4911,1492489.82,6716204.2,2015-02-23T23:00:36.787103Z
flink,95915011,664.817,latest,63765.9054,1275318.11,5738931.49,2017-05-09T20:28:32.125909Z
consul,1055551005,56.198,median,59319.9535,1186399.07,5338795.82,2016-04-25T22:06:35.106828Z
php,1319265930,41.476,median,54718.1666,1094363.33,4924634.99,2014-09-04T19:15:45.540234Z
amazonlinux,967458840,54.574,latest,52798.2758,1055965.52,4751844.82,2016-11-16T00:39:06.98109Z
alpine,11956275332,3.846,latest,45988.5098,919770.2,4138965.88,2015-03-17T23:16:05.407728Z
vault,552864785,81.823,median,45237.0774,904741.55,4071336.97,2016-07-21T20:07:02.407935Z
kong,355245282,122.825,latest,43632.8767,872657.53,3926958.9,2016-08-31T21:12:34.623235Z
cassandra,256869265,169.134,latest,43445.2356,868904.71,3910071.2,2015-05-01T20:03:40.503921Z
zookeeper,348372120,117.446,latest,40914.7455,818294.91,3682327.09,2016-09-12T21:02:05.855821Z
odoo,50843057,710.592,latest,36128.6462,722572.92,3251578.16,2015-01-06T22:01:34.747953Z
registry,1752548240,20.121,latest,35263.4946,705269.89,3173714.51,2014-01-03T18:46:40Z
sentry,124297833,263.814,latest,32791.5671,655831.34,2951241.04,2014-11-15T08:14:25.988256Z
rocket.chat,76471957,417.595,latest,31934.3028,638686.06,2874087.25,2015-08-13T16:38:43.124501Z
couchdb,201894595,148.846,latest,30051.2271,601024.54,2704610.44,2016-02-25T01:08:56.325238Z
busybox,12631628382,2.226,latest,28122.1353,562442.71,2530992.18,2013-04-30T20:54:42Z
matomo,135811511,203.345,latest,27616.5643,552331.29,2485490.78,2018-04-25T18:42:57.694802Z
adoptopenjdk,102279946,251.075,latest,25679.9478,513598.96,2311195.3,2019-05-24T23:42:23.763201Z
jenkins,149738484,168.03,median,25160.6111,503212.22,2264455.0,2014-07-22T21:45:39.381066Z
joomla,85858328,280.218,latest,24059.0185,481180.37,2165311.66,2015-08-04T18:39:08.087783Z
xwiki,34122451,652.709,latest,22272.0252,445440.5,2004482.27,2017-02-08T23:29:51.480221Z
eclipse-temurin,293606496,73.743,median,21651.4001,433028.0,1948626.0,2021-08-13T21:48:42.393375Z
haproxy,1121201298,17.886,median,20054.3188,401086.38,1804888.69,2014-12-29T23:15:01.619972Z
amazoncorretto,144015470,139.057,latest,20026.3275,400526.55,1802369.48,2019-01-09T05:42:08.745828Z
redmine,73303716,260.406,latest,19088.7088,381774.18,1717983.8,2015-08-07T01:00:57.806136Z
adminer,398779124,46.688,latest,18618.2181,372364.36,1675639.63,2017-01-27T21:45:14.651335Z
java,143124427,124.221,median,17779.1138,355582.28,1600120.25,2014-06-06T18:28:17Z
pypy,41312220,416.087,latest,17189.4936,343789.87,1547054.42,2014-12-20T00:04:17.922613Z
phpmyadmin,87407082,196.552,latest,17180.0309,343600.62,1546202.78,2020-08-27T00:39:57.666261Z
composer,218409245,77.505,latest,16927.8618,338557.24,1523507.56,2016-11-24T00:03:48.522342Z
groovy,78300777,213.917,median,16749.8896,334997.79,1507490.06,2017-02-28T21:55:51.349829Z
caddy,696571770,23.907,latest,16653.1384,333062.77,1498782.46,2020-04-14T00:52:20.768622Z
mongo-express,273983647,58.933,latest,16146.5495,322930.99,1453189.45,2016-04-06T17:44:46.039Z
mediawiki,47913291,329.876,latest,15805.4593,316109.19,1422491.33,2017-08-24T18:18:39.100699Z
gcc,28185701,559.932,latest,15782.0621,315641.24,1420385.59,2014-07-21T10:38:35.239943Z
chronograf,157376405,96.343,latest,15162.0631,303241.26,1364585.67,2016-05-12T16:47:41.108981Z
websphere-liberty,24727319,594.106,latest,14690.6474,293812.95,1322158.27,2015-01-22T23:30:28.017783Z
drupal,206209413,66.075,median,13625.2915,272505.83,1226276.24,2015-04-28T23:45:55.880243Z
owncloud,58087679,221.151,latest,12846.1493,256922.99,1156153.44,2015-07-23T23:43:48.470079Z
ros,33219017,339.631,latest,11282.2073,225644.15,1015398.65,2015-06-03T03:02:09.370435Z
mono,43601391,254.59,latest,11100.4728,222009.46,999042.55,2014-10-30T20:32:30.96305Z
kapacitor,60454531,174.503,latest,10549.5009,210990.02,949455.08,2016-05-12T16:49:41.090806Z
arangodb,40128120,260.579,latest,10456.5392,209130.78,941088.53,2015-07-14T20:30:29.392344Z
swift,32185814,294.8,median,9488.3896,189767.79,853955.06,2017-01-21T16:49:27.613593Z
fedora,133408860,69.314,latest,9247.0829,184941.66,832237.46,2014-01-03T18:37:05Z
jruby,51634803,160.239,median,8273.9142,165478.28,744652.28,2014-09-24T15:32:51.614863Z
clojure,40686909,184.035,median,7487.8001,149756.0,673902.01,2014-08-25T14:56:27.655111Z
jetty,44422715,163.456,median,7261.1607,145223.21,653504.46,2015-02-09T20:10:40.435907Z
haskell,8390784,825.249,latest,6924.482,138489.64,623203.38,2014-10-31T21:09:02.219213Z
eclipse-mosquitto,668890630,9.982,latest,6676.6596,133533.19,600899.36,2016-12-13T21:14:20.875719Z
open-liberty,13739584,483.47,latest,6642.6798,132853.6,597841.18,2018-01-16T23:43:54.514408Z
sapmachine,24064450,227.243,median,5468.4854,109369.71,492163.69,2019-06-25T00:47:48.485642Z
julia,16585594,329.631,latest,5467.1277,109342.55,492041.5,2015-03-09T22:18:32.534908Z
znc,28482939,183.058,latest,5214.0402,104280.8,469263.62,2017-03-01T00:53:12.998584Z
nuxeo,5284371,956.047,latest,5052.107,101042.14,454689.63,2015-12-24T15:47:32.758214Z
crate,19850321,234.625,latest,4657.3743,93147.49,419163.69,2014-10-16T18:43:28.992842Z
storm,9287481,495.5,latest,4601.9508,92039.02,414175.57,2016-10-12T17:59:31.921838Z
iojs,17422679,254.112,latest,4427.3186,88546.37,398458.68,2015-01-19T22:13:40.424169Z
yourls,23054141,187.581,latest,4324.525,86490.5,389207.25,2018-07-18T22:43:33.869349Z
archlinux,32359742,131.369,latest,4251.0614,85021.23,382595.52,2019-10-15T01:48:17.387086Z
r-base,11386733,371.407,latest,4229.1117,84582.23,380620.05,2014-11-21T03:30:44.70044Z
elixir,66035981,64.027,median,4228.1003,84562.01,380529.03,2016-03-04T18:13:49.837627Z
haxe,24978539,165.32,latest,4129.4461,82588.92,371650.15,2017-01-23T19:31:18.863383Z
tomee,26080892,151.64,median,3954.8977,79097.95,355940.79,2015-10-02T23:37:37.008853Z
silverpeas,2157706,1818.267,latest,3923.2854,78465.71,353095.69,2017-01-20T00:37:17.247503Z
oraclelinux,44084505,86.713,median,3822.6863,76453.73,344041.77,2015-01-02T00:28:42.700254Z
rethinkdb,77048199,48.036,latest,3701.0537,74021.07,333094.83,2015-01-13T20:14:11.543629Z
django,23167921,158.031,latest,3661.2443,73224.89,329511.99,2014-12-27T05:33:20.984257Z
erlang,64632665,53.609,median,3464.8869,69297.74,311839.82,2015-11-11T17:41:39.298973Z
piwik,20531596,166.881,latest,3426.3284,68526.57,308369.55,2016-03-04T17:52:03.199501Z
ibm-semeru-runtimes,12434428,270.476,median,3363.2105,67264.21,302688.94,2021-10-21T01:44:17.938174Z
gazebo,4499426,713.043,latest,3208.2827,64165.65,288745.45,2015-07-28T18:16:43.358162Z
orientdb,16079316,191.143,latest,3073.4447,61468.89,276610.02,2016-04-06T16:27:21.556557Z
monica,13135210,225.586,latest,2963.1177,59262.35,266680.6,2020-08-26T21:37:05.890566Z
rails,9018049,317.822,latest,2866.1386,57322.77,257952.47,2014-06-06T22:49:43Z
bash,577879951,4.866,median,2811.8338,56236.68,253065.04,2016-10-18T23:34:52.964422Z
varnish,21369633,122.307,latest,2613.6501,52273.0,235228.51,2019-07-04T23:06:49.26155Z
